,date,nyc_ww_smooth_raw,nyc_hosp_smooth_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
40,2021-10-22,1887321.3910805886,2481.333333333333,2064810.5215567765,2615091.7085714345,2754381.5633333283,2569.999999999999,2643.8333333333335,2732.0000000000005,65.9,1.6,1.9,2.0,1,0
41,2021-10-29,1362598.0586996325,2400.6666666666674,1887321.3910805886,2064810.5215567765,2615091.7085714345,2481.333333333333,2569.999999999999,2643.8333333333335,66.6,1.5,2.0,2.1,1,0
42,2021-11-05,1529643.8257142855,2305.333333333334,1362598.0586996325,1887321.3910805886,2064810.5215567765,2400.6666666666674,2481.333333333333,2569.999999999999,67.2,1.5,2.0,2.1,1,0
43,2021-11-12,1349754.7833333365,2311.3333333333326,1529643.8257142855,1362598.0586996325,1887321.3910805886,2305.333333333334,2400.6666666666674,2481.333333333333,67.7,1.4,2.0,2.2,1,0
44,2021-11-19,1517078.968571427,2500.500000000001,1349754.7833333365,1529643.8257142855,1362598.0586996325,2311.3333333333326,2305.333333333334,2400.6666666666674,68.3,1.4,2.0,2.3,1,0
45,2021-11-26,1774029.963809523,2850.4999999999986,1517078.968571427,1349754.7833333365,1529643.8257142855,2500.500000000001,2311.3333333333326,2305.333333333334,68.7,1.4,2.0,2.4,1,0
46,2021-12-03,2675327.895357143,3330.8333333333308,1774029.963809523,1517078.968571427,1349754.7833333365,2850.4999999999986,2500.500000000001,2311.3333333333326,69.3,1.4,2.0,2.6,1,0
47,2021-12-10,3842744.556071431,3766.1666666666683,2675327.895357143,1774029.963809523,1517078.968571427,3330.8333333333308,2850.4999999999986,2500.500000000001,71.3,1.6,2.2,2.8,1,0
48,2021-12-17,5140108.791666667,4269.666666666671,3842744.556071431,2675327.895357143,1774029.963809523,3766.1666666666683,3330.8333333333308,2850.4999999999986,71.9,2.7,3.2,3.9,0,1
49,2021-12-24,8561653.596785692,5256.499999999995,5140108.791666667,3842744.556071431,2675327.895357143,4269.666666666671,3766.1666666666683,3330.8333333333308,72.6,5.0,5.5,6.1,0,1
50,2021-12-31,26235726.333928537,7379.500000000003,8561653.596785692,5140108.791666667,3842744.556071431,5256.499999999995,4269.666666666671,3766.1666666666683,73.2,8.2,8.7,9.3,0,1
51,2022-01-07,37030840.891428515,9980.833333333332,26235726.333928537,8561653.596785692,5140108.791666667,7379.500000000003,5256.499999999995,4269.666666666671,73.7,11.2,11.7,12.3,0,1
52,2022-01-14,37433546.64666663,11744.99999999999,37030840.891428515,26235726.333928537,8561653.596785692,9980.833333333332,7379.500000000003,5256.499999999995,74.4,12.6,13.0,13.6,0,1
53,2022-01-21,20149451.03214285,11513.500000000002,37433546.64666663,37030840.891428515,26235726.333928537,11744.99999999999,9980.833333333332,7379.500000000003,75.2,13.3,13.6,14.2,0,1
54,2022-01-28,8493376.120952394,9721.66666666666,20149451.03214285,37433546.64666663,37030840.891428515,11513.500000000002,11744.99999999999,9980.833333333332,75.8,13.5,13.8,14.3,0,1
55,2022-02-04,4033677.297142853,7487.333333333338,8493376.120952394,20149451.03214285,37433546.64666663,9721.66666666666,11513.500000000002,11744.99999999999,76.3,13.6,13.9,14.4,0,1
56,2022-02-11,2337426.7516666683,5538.333333333337,4033677.297142853,8493376.120952394,20149451.03214285,7487.333333333338,9721.66666666666,11513.500000000002,76.8,13.5,13.9,14.3,0,1
57,2022-02-18,1385416.666666666,4087.666666666665,2337426.7516666683,4033677.297142853,8493376.120952394,5538.333333333337,7487.333333333338,9721.66666666666,77.2,13.5,13.9,14.3,0,1
58,2022-02-25,1013523.8095238097,3027.6666666666642,1385416.666666666,2337426.7516666683,4033677.297142853,4087.666666666665,5538.333333333337,7487.333333333338,77.6,13.3,13.9,14.2,0,1
59,2022-03-04,826071.4285714305,2294.8333333333344,1013523.8095238097,1385416.666666666,2337426.7516666683,3027.6666666666642,4087.666666666665,5538.333333333337,77.8,13.0,13.9,14.2,0,1
60,2022-03-11,852107.1428571428,1802.8333333333328,826071.4285714305,1013523.8095238097,1385416.666666666,2294.8333333333344,3027.6666666666642,4087.666666666665,78.0,12.0,13.8,14.2,0,1
61,2022-03-18,872559.5238095245,1474.9999999999995,852107.1428571428,826071.4285714305,1013523.8095238097,1802.8333333333328,2294.8333333333344,3027.6666666666642,78.2,9.6,13.8,14.2,0,1
62,2022-03-25,1109726.1904761926,1265.3333333333335,872559.5238095245,852107.1428571428,826071.4285714305,1474.9999999999995,1802.8333333333328,2294.8333333333344,78.4,6.4,13.7,14.2,0,1
