,date,sf_ww_smooth_raw,sf_hosp_smooth_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
20,2021-05-07,968000.3937585361,26.000000000000004,1019817.1036150608,1013113.5701014993,809943.2166845097,29.000000000000004,31.0,31.833333333333336,46.6,0.4,0.9,1.8,0,0
21,2021-05-14,823449.6971758656,22.499999999999996,968000.3937585361,1019817.1036150608,1013113.5701014993,26.000000000000004,29.000000000000004,31.0,53.0,0.3,0.7,1.6,0,0
22,2021-05-21,445706.8166560395,21.666666666666682,823449.6971758656,968000.3937585361,1019817.1036150608,22.499999999999996,26.000000000000004,29.000000000000004,56.9,0.3,0.6,1.4,0,0
23,2021-05-28,421644.0462879491,18.66666666666668,445706.8166560395,823449.6971758656,968000.3937585361,21.666666666666682,22.499999999999996,26.000000000000004,59.8,0.3,0.5,1.1,0,0
24,2021-06-04,77162.51299006717,17.66666666666667,421644.0462879491,445706.8166560395,823449.6971758656,18.66666666666668,21.666666666666682,22.499999999999996,61.0,0.3,0.4,0.9,0,0
25,2021-06-11,69218.2882451588,17.333333333333325,77162.51299006717,421644.0462879491,445706.8166560395,17.66666666666667,18.66666666666668,21.666666666666682,63.6,0.2,0.4,0.7,0,0
26,2021-06-18,66433.89016177929,19.999999999999996,69218.2882451588,77162.51299006717,421644.0462879491,17.333333333333325,17.66666666666667,18.66666666666668,65.2,0.2,0.3,0.6,1,0
27,2021-06-25,70670.40665800223,22.33333333333333,66433.89016177929,69218.2882451588,77162.51299006717,19.999999999999996,17.333333333333325,17.66666666666667,66.1,0.2,0.3,0.5,1,0
28,2021-07-02,100778.01076884144,24.333333333333332,70670.40665800223,66433.89016177929,69218.2882451588,22.33333333333333,19.999999999999996,17.333333333333325,67.3,0.2,0.3,0.5,1,0
29,2021-07-09,228879.9636790866,27.0,100778.01076884144,70670.40665800223,66433.89016177929,24.333333333333332,22.33333333333333,19.999999999999996,67.8,0.2,0.3,0.5,1,0
30,2021-07-16,377683.79491623637,34.33333333333334,228879.9636790866,100778.01076884144,70670.40665800223,27.0,24.333333333333332,22.33333333333333,68.3,0.3,0.4,0.5,1,0
31,2021-07-23,591948.2439752042,49.83333333333336,377683.79491623637,228879.9636790866,100778.01076884144,34.33333333333334,27.0,24.333333333333332,68.8,0.5,0.6,0.7,1,0
32,2021-07-30,958712.1173116548,72.83333333333336,591948.2439752042,377683.79491623637,228879.9636790866,49.83333333333336,34.33333333333334,27.0,69.2,0.7,0.8,0.9,1,0
33,2021-08-06,1961124.3172610498,95.5,958712.1173116548,591948.2439752042,377683.79491623637,72.83333333333336,49.83333333333336,34.33333333333334,69.8,0.8,0.9,1.0,1,0
34,2021-08-13,2501046.18658673,111.99999999999996,1961124.3172610498,958712.1173116548,591948.2439752042,95.5,72.83333333333336,49.83333333333336,70.2,1.0,1.1,1.2,1,0
35,2021-08-20,2693941.891922611,119.6666666666667,2501046.18658673,1961124.3172610498,958712.1173116548,111.99999999999996,95.5,72.83333333333336,70.7,1.1,1.2,1.3,1,0
36,2021-08-27,2157074.823400164,119.99999999999997,2693941.891922611,2501046.18658673,1961124.3172610498,119.6666666666667,111.99999999999996,95.5,71.1,1.3,1.3,1.4,1,0
37,2021-09-03,2086223.6384643933,110.99999999999997,2157074.823400164,2693941.891922611,2501046.18658673,119.99999999999997,119.6666666666667,111.99999999999996,71.5,1.4,1.4,1.5,1,0
38,2021-09-10,1931267.4402333857,97.0,2086223.6384643933,2157074.823400164,2693941.891922611,110.99999999999997,119.99999999999997,119.6666666666667,71.8,1.4,1.5,1.5,1,0
39,2021-09-17,1718684.1874521007,82.66666666666667,1931267.4402333857,2086223.6384643933,2157074.823400164,97.0,110.99999999999997,119.99999999999997,72.3,1.5,1.5,1.6,1,0
40,2021-09-24,1192105.3845883647,75.33333333333333,1718684.1874521007,1931267.4402333857,2086223.6384643933,82.66666666666667,97.0,110.99999999999997,72.7,1.6,1.6,1.7,1,0
41,2021-10-01,935209.0805957579,71.33333333333336,1192105.3845883647,1718684.1874521007,1931267.4402333857,75.33333333333333,82.66666666666667,97.0,73.0,1.6,1.7,1.7,1,0
42,2021-10-08,860415.7168766868,66.99999999999997,935209.0805957579,1192105.3845883647,1718684.1874521007,71.33333333333336,75.33333333333333,82.66666666666667,73.8,1.5,1.7,1.7,1,0
43,2021-10-15,785161.9886259439,61.00000000000001,860415.7168766868,935209.0805957579,1192105.3845883647,66.99999999999997,71.33333333333336,75.33333333333333,74.1,1.4,1.8,1.8,1,0
44,2021-10-22,699469.9161024877,55.000000000000014,785161.9886259439,860415.7168766868,935209.0805957579,61.00000000000001,66.99999999999997,71.33333333333336,74.5,1.2,1.8,1.8,1,0
45,2021-10-29,588193.9070802667,53.00000000000001,699469.9161024877,785161.9886259439,860415.7168766868,55.000000000000014,61.00000000000001,66.99999999999997,74.8,1.1,1.8,1.9,1,0
46,2021-11-05,804782.2566880311,47.83333333333333,588193.9070802667,699469.9161024877,785161.9886259439,53.00000000000001,55.000000000000014,61.00000000000001,75.1,0.9,1.7,1.9,1,0
47,2021-11-12,858682.3880680501,41.999999999999986,804782.2566880311,588193.9070802667,699469.9161024877,47.83333333333333,53.00000000000001,55.000000000000014,75.5,0.9,1.6,2.0,1,0
48,2021-11-19,958062.9287228329,33.666666666666664,858682.3880680501,804782.2566880311,588193.9070802667,41.999999999999986,47.83333333333333,53.00000000000001,75.8,0.7,1.4,2.0,1,0
49,2021-11-26,958574.1055217922,30.000000000000004,958062.9287228329,858682.3880680501,804782.2566880311,33.666666666666664,41.999999999999986,47.83333333333333,76.0,0.7,1.3,2.0,1,0
50,2021-12-03,1099770.47300736,32.66666666666667,958574.1055217922,958062.9287228329,858682.3880680501,30.000000000000004,33.666666666666664,41.999999999999986,77.0,0.7,1.2,1.9,1,0
51,2021-12-10,1324495.2829289106,36.99999999999998,1099770.47300736,958574.1055217922,958062.9287228329,32.66666666666667,30.000000000000004,33.666666666666664,78.3,0.7,1.1,1.8,1,0
52,2021-12-17,2024645.7082870905,41.16666666666666,1324495.2829289106,1099770.47300736,958574.1055217922,36.99999999999998,32.66666666666667,30.000000000000004,79.2,1.0,1.3,1.9,0,1
53,2021-12-24,4033548.199248538,44.666666666666664,2024645.7082870905,1324495.2829289106,1099770.47300736,41.16666666666666,36.99999999999998,32.66666666666667,79.8,1.6,1.9,2.5,0,1
54,2021-12-31,11706375.233040689,67.6666666666667,4033548.199248538,2024645.7082870905,1324495.2829289106,44.666666666666664,41.16666666666666,36.99999999999998,80.2,2.8,3.0,3.5,0,1
55,2022-01-07,19731800.92882781,117.66666666666671,11706375.233040689,4033548.199248538,2024645.7082870905,67.6666666666667,44.666666666666664,41.16666666666666,80.5,4.5,4.7,5.2,0,1
56,2022-01-14,26562712.093988717,184.00000000000006,19731800.92882781,11706375.233040689,4033548.199248538,117.66666666666671,67.6666666666667,44.666666666666664,81.0,6.0,6.2,6.5,0,1
57,2022-01-21,24989336.34991411,238.00000000000009,26562712.093988717,19731800.92882781,11706375.233040689,184.00000000000006,117.66666666666671,67.6666666666667,81.5,6.9,7.1,7.4,0,1
58,2022-01-28,19446424.85422699,255.99999999999994,24989336.34991411,26562712.093988717,19731800.92882781,238.00000000000009,184.00000000000006,117.66666666666671,81.9,7.4,7.6,7.8,0,1
59,2022-02-04,12545723.586121747,242.99999999999994,19446424.85422699,24989336.34991411,26562712.093988717,255.99999999999994,238.00000000000009,184.00000000000006,82.2,8.1,8.3,8.5,0,1
60,2022-02-11,7522794.161140547,211.00000000000003,12545723.586121747,19446424.85422699,24989336.34991411,242.99999999999994,255.99999999999994,238.00000000000009,82.4,8.3,8.5,8.7,0,1
61,2022-02-18,5171694.835060089,171.99999999999994,7522794.161140547,12545723.586121747,19446424.85422699,211.00000000000003,242.99999999999994,255.99999999999994,82.6,8.4,8.6,8.8,0,1
62,2022-02-25,3492546.4228866585,133.33333333333337,5171694.835060089,7522794.161140547,12545723.586121747,171.99999999999994,211.00000000000003,242.99999999999994,82.7,8.4,8.6,8.8,0,1
63,2022-03-04,2447812.8659907766,98.33333333333334,3492546.4228866585,5171694.835060089,7522794.161140547,133.33333333333337,171.99999999999994,211.00000000000003,82.8,8.4,8.6,8.8,0,1
