,date,sd_covid_ww_smooth,sd_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority,TARGET0,TARGET1,TARGET2
17,2021-06-25,536429.6666666666,33.42857142857142,380424.7777777778,355680.6666666667,393037.0,33.57142857142858,43.42857142857143,47.42857142857143,37.1,0.4,0.7,1.6,1,0,33.42857142857142,37.57142857142857,40.714285714285715
18,2021-07-02,1238608.1111111112,37.57142857142857,536429.6666666666,380424.7777777778,355680.6666666667,33.42857142857142,33.57142857142858,43.42857142857143,39.2,0.4,0.7,1.3,1,0,37.57142857142857,40.714285714285715,53.142857142857146
19,2021-07-09,1250464.1111111112,40.714285714285715,1238608.1111111112,536429.6666666666,380424.7777777778,37.57142857142857,33.42857142857142,33.57142857142858,40.3,0.4,0.6,1.1,1,0,40.714285714285715,53.142857142857146,86.28571428571429
20,2021-07-16,1977949.3333333333,53.142857142857146,1250464.1111111112,1238608.1111111112,536429.6666666666,40.714285714285715,37.57142857142857,33.42857142857142,41.2,0.3,0.6,1.0,1,0,53.142857142857146,86.28571428571429,115.28571428571429
21,2021-07-23,1760295.5555555553,86.28571428571429,1977949.3333333333,1250464.1111111112,1238608.1111111112,53.142857142857146,40.714285714285715,37.57142857142857,41.9,0.3,0.6,0.9,1,0,86.28571428571429,115.28571428571429,159.57142857142858
22,2021-07-30,2630026.6666666665,115.28571428571429,1760295.5555555553,1977949.3333333333,1250464.1111111112,86.28571428571429,53.142857142857146,40.714285714285715,42.5,0.5,0.7,0.9,1,0,115.28571428571429,159.57142857142858,209.7142857142857
23,2021-08-06,2340250.5555555555,159.57142857142858,2630026.6666666665,1760295.5555555553,1977949.3333333333,115.28571428571429,86.28571428571429,53.142857142857146,43.2,0.6,0.8,1.0,1,0,159.57142857142858,209.7142857142857,248.5
24,2021-08-13,2824964.8888888885,209.7142857142857,2340250.5555555555,2630026.6666666665,1760295.5555555553,159.57142857142858,115.28571428571429,86.28571428571429,43.7,0.8,0.9,1.2,1,0,209.7142857142857,248.5,293.00000000000006
25,2021-08-20,2240329.7777777775,248.5,2824964.8888888885,2340250.5555555555,2630026.6666666665,209.7142857142857,159.57142857142858,115.28571428571429,44.4,1.0,1.2,1.4,1,0,248.5,293.00000000000006,298.0
26,2021-08-27,1724407.5555555557,293.00000000000006,2240329.7777777775,2824964.8888888885,2340250.5555555555,248.5,209.7142857142857,159.57142857142858,45.0,1.3,1.4,1.6,1,0,293.00000000000006,298.0,257.2857142857143
27,2021-09-03,1245626.1111111112,298.0,1724407.5555555557,2240329.7777777775,2824964.8888888885,293.00000000000006,248.5,209.7142857142857,45.7,1.6,1.7,1.8,1,0,298.0,257.2857142857143,230.2857142857143
28,2021-09-10,841541.5555555556,257.2857142857143,1245626.1111111112,1724407.5555555557,2240329.7777777775,298.0,293.00000000000006,248.5,46.4,1.8,1.9,2.0,1,0,257.2857142857143,230.2857142857143,186.57142857142856
29,2021-09-17,1203330.888888889,230.2857142857143,841541.5555555556,1245626.1111111112,1724407.5555555557,257.2857142857143,298.0,293.00000000000006,47.2,2.0,2.0,2.2,1,0,230.2857142857143,186.57142857142856,154.71428571428572
30,2021-09-24,785938.7777777779,186.57142857142856,1203330.888888889,841541.5555555556,1245626.1111111112,230.2857142857143,257.2857142857143,298.0,47.7,2.1,2.2,2.3,1,0,186.57142857142856,154.71428571428572,137.85714285714286
31,2021-10-01,748473.1111111111,154.71428571428572,785938.7777777779,1203330.888888889,841541.5555555556,186.57142857142856,230.2857142857143,257.2857142857143,48.7,2.2,2.3,2.4,1,0,154.71428571428572,137.85714285714286,121.3095238095238
32,2021-10-08,346764.3333333333,137.85714285714286,748473.1111111111,785938.7777777779,1203330.888888889,154.71428571428572,186.57142857142856,230.2857142857143,49.2,2.3,2.4,2.5,1,0,137.85714285714286,121.3095238095238,123.71428571428571
33,2021-10-15,442388.1111111112,121.3095238095238,346764.3333333333,748473.1111111111,785938.7777777779,137.85714285714286,154.71428571428572,186.57142857142856,49.8,2.4,2.5,2.6,1,0,121.3095238095238,123.71428571428571,127.85714285714286
34,2021-10-22,765673.2222222221,123.71428571428571,442388.1111111112,346764.3333333333,748473.1111111111,121.3095238095238,137.85714285714286,154.71428571428572,50.3,2.3,2.6,2.7,1,0,123.71428571428571,127.85714285714286,122.71428571428572
35,2021-10-29,936829.8888888889,127.85714285714286,765673.2222222221,442388.1111111112,346764.3333333333,123.71428571428571,121.3095238095238,137.85714285714286,50.9,2.3,2.7,2.8,1,0,127.85714285714286,122.71428571428572,113.14285714285712
36,2021-11-05,1032044.8333333334,122.71428571428572,936829.8888888889,765673.2222222221,442388.1111111112,127.85714285714286,123.71428571428571,121.3095238095238,51.4,2.1,2.8,2.9,1,0,122.71428571428572,113.14285714285712,120.71428571428571
37,2021-11-12,896496.3888888889,113.14285714285712,1032044.8333333334,936829.8888888889,765673.2222222221,122.71428571428572,127.85714285714286,123.71428571428571,51.8,2.0,2.8,2.9,1,0,113.14285714285712,120.71428571428571,112.28571428571428
38,2021-11-19,973027.8333333334,120.71428571428571,896496.3888888889,1032044.8333333334,936829.8888888889,113.14285714285712,122.71428571428572,127.85714285714286,52.3,1.8,2.8,3.0,1,0,120.71428571428571,112.28571428571428,124.14285714285714
39,2021-11-26,1296186.3333333333,112.28571428571428,973027.8333333334,896496.3888888889,1032044.8333333334,120.71428571428571,113.14285714285712,122.71428571428572,52.8,1.6,2.7,3.1,1,0,112.28571428571428,124.14285714285714,136.85714285714286
40,2021-12-03,1919873.777777778,124.14285714285714,1296186.3333333333,973027.8333333334,896496.3888888889,112.28571428571428,120.71428571428571,113.14285714285712,53.3,1.5,2.5,3.2,1,0,124.14285714285714,136.85714285714286,143.14285714285714
41,2021-12-10,2768918.3333333335,136.85714285714286,1919873.777777778,1296186.3333333333,973027.8333333334,124.14285714285714,112.28571428571428,120.71428571428571,53.7,1.4,2.4,3.2,1,0,136.85714285714286,143.14285714285714,134.42857142857144
42,2021-12-17,4529913.444444444,143.14285714285714,2768918.3333333335,1919873.777777778,1296186.3333333333,136.85714285714286,124.14285714285714,112.28571428571428,54.3,1.4,2.3,3.2,1,0,143.14285714285714,134.42857142857144,205.14285714285714
43,2021-12-24,8528992.444444446,134.42857142857144,4529913.444444444,2768918.3333333335,1919873.777777778,143.14285714285714,136.85714285714286,124.14285714285714,55.2,1.4,2.2,3.2,1,0,134.42857142857144,205.14285714285714,333.2857142857143
44,2021-12-31,18862816.88888889,205.14285714285714,8528992.444444446,4529913.444444444,2768918.3333333335,134.42857142857144,143.14285714285714,136.85714285714286,55.9,1.5,2.1,3.2,0,1,205.14285714285714,333.2857142857143,468.2857142857143
45,2022-01-07,31289130.111111116,333.2857142857143,18862816.88888889,8528992.444444446,4529913.444444444,205.14285714285714,134.42857142857144,143.14285714285714,56.5,1.9,2.5,3.5,0,1,333.2857142857143,468.2857142857143,552.5714285714286
46,2022-01-14,39061848.11111111,468.2857142857143,31289130.111111116,18862816.88888889,8528992.444444446,333.2857142857143,205.14285714285714,134.42857142857144,57.0,3.2,3.7,4.6,0,1,468.2857142857143,552.5714285714286,525.2857142857142
47,2022-01-21,36905191.44444445,552.5714285714286,39061848.11111111,31289130.111111116,18862816.88888889,468.2857142857143,333.2857142857143,205.14285714285714,57.9,6.0,6.4,7.2,0,1,552.5714285714286,525.2857142857142,474.85714285714283
48,2022-01-28,28822628.611111116,525.2857142857142,36905191.44444445,39061848.11111111,31289130.111111116,552.5714285714286,468.2857142857143,333.2857142857143,58.5,7.8,8.3,8.9,0,1,525.2857142857142,474.85714285714283,388.7142857142857
49,2022-02-04,21131587.500000004,474.85714285714283,28822628.611111116,36905191.44444445,39061848.11111111,525.2857142857142,552.5714285714286,468.2857142857143,63.0,9.7,10.1,10.7,0,1,474.85714285714283,388.7142857142857,296.42857142857144
50,2022-02-11,15091327.500000002,388.7142857142857,21131587.500000004,28822628.611111116,36905191.44444445,474.85714285714283,525.2857142857142,552.5714285714286,67.3,10.5,10.9,11.4,0,1,388.7142857142857,296.42857142857144,231.14285714285717
51,2022-02-18,10338397.111111114,296.42857142857144,15091327.500000002,21131587.500000004,28822628.611111116,388.7142857142857,474.85714285714283,525.2857142857142,67.6,10.9,11.3,11.7,0,1,296.42857142857144,231.14285714285717,177.14285714285714
52,2022-02-25,6080155.77777778,231.14285714285717,10338397.111111114,15091327.500000002,21131587.500000004,296.42857142857144,388.7142857142857,474.85714285714283,67.9,11.1,11.5,11.9,0,1,231.14285714285717,177.14285714285714,122.14285714285714
53,2022-03-04,3057374.0000000023,177.14285714285714,6080155.77777778,10338397.111111114,15091327.500000002,231.14285714285717,296.42857142857144,388.7142857142857,68.5,11.2,11.7,12.1,0,1,177.14285714285714,122.14285714285714,90.57142857142858
54,2022-03-11,1580858.3888888916,122.14285714285714,3057374.0000000023,6080155.77777778,10338397.111111114,177.14285714285714,231.14285714285717,296.42857142857144,68.7,11.2,11.7,12.1,0,1,122.14285714285714,90.57142857142858,74.71428571428571
55,2022-03-18,1531381.3888888916,90.57142857142858,1580858.3888888916,3057374.0000000023,6080155.77777778,122.14285714285714,177.14285714285714,231.14285714285717,69.2,11.2,11.7,12.2,0,1,90.57142857142858,74.71428571428571,66.42857142857143
56,2022-03-25,1863127.666666669,74.71428571428571,1531381.3888888916,1580858.3888888916,3057374.0000000023,90.57142857142858,122.14285714285714,177.14285714285714,69.5,11.1,11.8,12.2,0,1,74.71428571428571,66.42857142857143,57.28571428571429
57,2022-04-01,2174710.333333336,66.42857142857143,1863127.666666669,1531381.3888888916,1580858.3888888916,74.71428571428571,90.57142857142858,122.14285714285714,69.9,10.7,11.8,12.2,0,1,66.42857142857143,57.28571428571429,46.57142857142857
58,2022-04-08,2304387.5000000023,57.28571428571429,2174710.333333336,1863127.666666669,1531381.3888888916,66.42857142857143,74.71428571428571,90.57142857142858,70.0,9.3,11.6,12.1,0,1,57.28571428571429,46.57142857142857,44.85714285714286
59,2022-04-15,2607146.6666666693,46.57142857142857,2304387.5000000023,2174710.333333336,1863127.666666669,57.28571428571429,66.42857142857143,74.71428571428571,70.2,6.5,11.5,12.1,0,1,46.57142857142857,44.85714285714286,45.857142857142854
60,2022-04-22,2871988.3888888913,44.85714285714286,2607146.6666666693,2304387.5000000023,2174710.333333336,46.57142857142857,57.28571428571429,66.42857142857143,70.6,4.6,11.4,12.1,0,1,44.85714285714286,45.857142857142854,40.14285714285714
61,2022-04-29,3543057.1388888913,45.857142857142854,2871988.3888888913,2607146.6666666693,2304387.5000000023,44.85714285714286,46.57142857142857,57.28571428571429,73.8,2.7,10.9,12.0,0,1,45.857142857142854,40.14285714285714,49.42857142857143
62,2022-05-06,4306602.638888891,40.14285714285714,3543057.1388888913,2871988.3888888913,2607146.6666666693,45.857142857142854,44.85714285714286,46.57142857142857,75.5,1.9,9.6,11.9,0,1,40.14285714285714,49.42857142857143,50.57142857142857
