,Date,charlotte_covid_ww_smoothed,charlotte_hospitalizations_smoothed,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,Percent_Series_City,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
28,2021-08-06,37235331.166666664,147.95238095238096,19919218.0,9851564.5,6456192.5,171.47619047619048,197.38095238095238,227.61904761904762,46.2,0.8,1.4,1.9,0,0
29,2021-08-13,47816104.166666664,131.52380952380955,37235331.166666664,19919218.0,9851564.5,147.95238095238096,171.47619047619048,197.38095238095238,46.7,0.7,1.3,1.8,0,0
30,2021-08-20,50620182.666666664,125.0,47816104.166666664,37235331.166666664,19919218.0,131.52380952380955,147.95238095238096,171.47619047619048,47.4,0.6,1.2,1.7,0,0
31,2021-08-27,45541779.333333336,131.61904761904762,50620182.666666664,47816104.166666664,37235331.166666664,125.0,131.52380952380955,147.95238095238096,48.3,0.7,1.3,1.8,0,0
32,2021-09-03,47764173.0,141.66666666666666,45541779.333333336,50620182.666666664,47816104.166666664,131.61904761904762,125.0,131.52380952380955,49.1,0.9,1.4,1.9,0,0
33,2021-09-10,65375418.333333336,155.66666666666669,47764173.0,45541779.333333336,50620182.666666664,141.66666666666666,131.61904761904762,125.0,50.0,1.1,1.5,2.2,0,0
34,2021-09-17,67951427.16666667,160.0,65375418.333333336,47764173.0,45541779.333333336,155.66666666666669,141.66666666666666,131.61904761904762,50.8,1.4,1.7,2.4,0,0
35,2021-09-24,69156819.16666667,160.95238095238096,67951427.16666667,65375418.333333336,47764173.0,160.0,155.66666666666669,141.66666666666666,51.5,1.8,2.0,2.6,0,0
36,2021-10-01,45444265.333333336,149.28571428571428,69156819.16666667,67951427.16666667,65375418.333333336,160.95238095238096,160.0,155.66666666666669,52.1,2.1,2.3,2.8,0,0
37,2021-10-08,39477850.833333336,130.19047619047618,45444265.333333336,69156819.16666667,67951427.16666667,149.28571428571428,160.95238095238096,160.0,53.2,2.4,2.5,2.9,0,0
38,2021-10-15,23836910.666666668,104.85714285714285,39477850.833333336,45444265.333333336,69156819.16666667,130.19047619047618,149.28571428571428,160.95238095238096,53.7,2.7,2.8,3.1,0,0
39,2021-10-22,22230918.5,86.61904761904763,23836910.666666668,39477850.833333336,45444265.333333336,104.85714285714285,130.19047619047618,149.28571428571428,54.4,3.0,3.1,3.3,0,0
40,2021-10-29,15664082.0,73.85714285714285,22230918.5,23836910.666666668,39477850.833333336,86.61904761904763,104.85714285714285,130.19047619047618,54.8,3.2,3.3,3.5,0,0
41,2021-11-05,17361783.833333332,66.71428571428571,15664082.0,22230918.5,23836910.666666668,73.85714285714285,86.61904761904763,104.85714285714285,55.3,3.3,3.5,3.6,0,0
42,2021-11-12,13631993.333333334,56.095238095238095,17361783.833333332,15664082.0,22230918.5,66.71428571428571,73.85714285714285,86.61904761904763,55.6,3.4,3.6,3.7,0,0
43,2021-11-19,10062322.333333334,49.38095238095238,13631993.333333334,17361783.833333332,15664082.0,56.095238095238095,66.71428571428571,73.85714285714285,56.0,3.3,3.7,3.8,0,0
44,2021-11-26,7610754.833333333,48.19047619047618,10062322.333333334,13631993.333333334,17361783.833333332,49.38095238095238,56.095238095238095,66.71428571428571,56.2,3.2,3.8,3.9,0,0
45,2021-12-03,9661745.333333334,51.666666666666664,7610754.833333333,10062322.333333334,13631993.333333334,48.19047619047618,49.38095238095238,56.095238095238095,56.9,2.9,3.8,4.0,0,0
