,date,htx_covid_ww,htx_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
50,2021-07-02,519204.27743909735,278.2142857142857,481695.7825059365,474960.313296482,492740.5347080008,283.4285714285714,329.5714285714285,327.57142857142856,61.0,3.2,3.9,5.5,0,0
51,2021-07-09,595564.9594541183,290.0,519204.27743909735,481695.7825059365,474960.313296482,278.2142857142857,283.4285714285714,329.5714285714285,61.4,4.5,5.1,6.3,1,0
52,2021-07-16,719798.4408748391,343.57142857142856,595564.9594541183,519204.27743909735,481695.7825059365,290.0,278.2142857142857,283.4285714285714,61.9,5.6,6.0,7.1,1,0
53,2021-07-23,895580.5700475856,506.0,719798.4408748391,595564.9594541183,519204.27743909735,343.57142857142856,290.0,278.2142857142857,62.2,6.2,6.5,7.6,1,0
54,2021-07-30,1113666.445731848,723.5714285714286,895580.5700475856,719798.4408748391,595564.9594541183,506.0,343.57142857142856,290.0,62.7,6.7,6.9,7.6,1,0
55,2021-08-06,1329131.2141156076,957.1428571428572,1113666.445731848,895580.5700475856,719798.4408748391,723.5714285714286,506.0,343.57142857142856,63.0,6.9,7.1,7.7,1,0
56,2021-08-13,1470261.3238554606,1193.428571428571,1329131.2141156076,1113666.445731848,895580.5700475856,957.1428571428572,723.5714285714286,506.0,63.3,7.0,7.2,7.6,1,0
57,2021-08-20,1516863.2814835713,1438.5714285714282,1470261.3238554606,1329131.2141156076,1113666.445731848,1193.428571428571,957.1428571428572,723.5714285714286,63.5,7.1,7.3,7.6,1,0
58,2021-08-27,1490970.1960112918,1588.142857142857,1516863.2814835713,1470261.3238554606,1329131.2141156076,1438.5714285714282,1193.428571428571,957.1428571428572,63.7,7.1,7.3,7.6,1,0
59,2021-09-03,1421701.9484682942,1628.142857142857,1490970.1960112918,1516863.2814835713,1470261.3238554606,1588.142857142857,1438.5714285714282,1193.428571428571,63.9,7.0,7.3,7.6,1,0
60,2021-09-10,1330793.8380518612,1586.285714285715,1421701.9484682942,1490970.1960112918,1516863.2814835713,1628.142857142857,1588.142857142857,1438.5714285714282,64.0,6.6,7.3,7.5,1,0
61,2021-09-17,1231110.343666521,1404.428571428571,1330793.8380518612,1421701.9484682942,1490970.1960112918,1586.285714285715,1628.142857142857,1588.142857142857,64.1,6.3,7.6,7.8,1,0
62,2021-09-24,1134023.7100998734,1239.857142857143,1231110.343666521,1330793.8380518612,1421701.9484682942,1404.428571428571,1586.285714285715,1628.142857142857,64.3,4.8,7.6,7.8,1,0
63,2021-10-01,1047667.953833542,1005.857142857143,1134023.7100998734,1231110.343666521,1330793.8380518612,1239.857142857143,1404.428571428571,1586.285714285715,64.5,3.5,7.5,7.8,1,0
64,2021-10-08,971889.662865354,849.857142857143,1047667.953833542,1134023.7100998734,1231110.343666521,1005.857142857143,1239.857142857143,1404.428571428571,64.6,2.4,7.1,7.8,1,0
65,2021-10-15,901607.1906810078,673.7857142857143,971889.662865354,1047667.953833542,1134023.7100998734,849.857142857143,1005.857142857143,1239.857142857143,64.7,1.8,6.5,7.8,1,0
66,2021-10-22,833822.179255648,553.2857142857143,901607.1906810078,971889.662865354,1047667.953833542,673.7857142857143,849.857142857143,1005.857142857143,64.8,1.3,5.0,7.8,1,0
67,2021-10-29,769158.2666612524,447.2857142857142,833822.179255648,901607.1906810078,971889.662865354,553.2857142857143,673.7857142857143,849.857142857143,64.9,1.1,3.7,7.7,1,0
68,2021-11-05,707919.6163490674,404.7142857142857,769158.2666612524,833822.179255648,901607.1906810078,447.2857142857142,553.2857142857143,673.7857142857143,65.0,1.0,2.7,7.3,1,0
69,2021-11-12,648197.3499946286,356.85714285714283,707919.6163490674,769158.2666612524,833822.179255648,404.7142857142857,447.2857142857142,553.2857142857143,65.0,1.0,2.1,6.8,1,0
70,2021-11-19,596509.4483245844,348.42857142857144,648197.3499946286,707919.6163490674,769158.2666612524,356.85714285714283,404.7142857142857,447.2857142857142,65.1,1.0,1.7,5.4,1,0
71,2021-11-26,568284.5374983143,334.1666666666667,596509.4483245844,648197.3499946286,707919.6163490674,348.42857142857144,356.85714285714283,404.7142857142857,65.2,1.2,1.6,4.2,1,0
72,2021-12-03,575954.4626027411,332.71428571428567,568284.5374983143,596509.4483245844,648197.3499946286,334.1666666666667,348.42857142857144,356.85714285714283,65.3,1.3,1.6,3.3,1,0
73,2021-12-10,638773.7451969387,323.9285714285715,575954.4626027411,568284.5374983143,596509.4483245844,332.71428571428567,334.1666666666667,348.42857142857144,65.4,1.2,1.7,2.8,1,0
74,2021-12-17,791855.4092092749,354.7142857142857,638773.7451969387,575954.4626027411,568284.5374983143,323.9285714285715,332.71428571428567,334.1666666666667,65.4,1.4,1.9,2.5,1,0
75,2021-12-24,1060997.1621057391,506.1428571428571,791855.4092092749,638773.7451969387,575954.4626027411,354.7142857142857,323.9285714285715,332.71428571428567,65.5,1.6,2.1,2.5,0,1
76,2021-12-31,1435101.048010212,882.0714285714286,1060997.1621057391,791855.4092092749,638773.7451969387,506.1428571428571,354.7142857142857,323.9285714285715,65.6,1.9,2.4,2.7,0,1
77,2022-01-07,1811193.2988474376,1313.142857142857,1435101.048010212,1060997.1621057391,791855.4092092749,882.0714285714286,506.1428571428571,354.7142857142857,65.6,2.2,2.4,2.8,0,1
78,2022-01-14,1976269.05889424,1506.4285714285716,1811193.2988474376,1435101.048010212,1060997.1621057391,1313.142857142857,882.0714285714286,506.1428571428571,65.7,2.4,2.6,3.1,0,1
79,2022-01-21,1825818.9008337285,1379.4285714285716,1976269.05889424,1811193.2988474376,1435101.048010212,1506.4285714285716,1313.142857142857,882.0714285714286,65.8,2.6,2.8,3.3,0,1
80,2022-01-28,1500352.536597917,1237.142857142857,1825818.9008337285,1976269.05889424,1811193.2988474376,1379.4285714285716,1506.4285714285716,1313.142857142857,65.9,2.8,3.0,3.5,0,1
81,2022-02-04,1154454.6761372243,1002.8333333333336,1500352.536597917,1825818.9008337285,1976269.05889424,1237.142857142857,1379.4285714285716,1506.4285714285716,65.2,2.9,3.2,3.4,0,1
82,2022-02-11,871093.8552015243,824.0000000000001,1154454.6761372243,1500352.536597917,1825818.9008337285,1002.8333333333336,1237.142857142857,1379.4285714285716,65.2,3.0,3.3,3.5,0,1
83,2022-02-18,671609.6097726116,690.3809523809523,871093.8552015243,1154454.6761372243,1500352.536597917,824.0000000000001,1002.8333333333336,1237.142857142857,65.3,2.9,3.4,3.6,0,1
84,2022-02-25,540998.1525035865,546.2857142857142,671609.6097726116,871093.8552015243,1154454.6761372243,690.3809523809523,824.0000000000001,1002.8333333333336,65.3,2.9,3.5,3.7,0,1
85,2022-03-04,459925.9420681101,447.78571428571433,540998.1525035865,671609.6097726116,871093.8552015243,546.2857142857142,690.3809523809523,824.0000000000001,65.3,2.8,3.6,3.8,0,1
86,2022-03-11,412961.1288768403,319.2142857142857,459925.9420681101,540998.1525035865,671609.6097726116,447.78571428571433,546.2857142857142,690.3809523809523,65.9,2.7,3.5,3.9,0,1
87,2022-03-18,389156.4234344749,278.85714285714283,412961.1288768403,459925.9420681101,540998.1525035865,319.2142857142857,447.78571428571433,546.2857142857142,65.9,2.5,3.4,3.9,0,1
88,2022-03-25,383033.58416315983,258.85714285714283,389156.4234344749,412961.1288768403,459925.9420681101,278.85714285714283,319.2142857142857,447.78571428571433,66.0,2.2,3.3,3.9,0,1
89,2022-04-01,393853.7564511705,224.1428571428571,383033.58416315983,389156.4234344749,412961.1288768403,258.85714285714283,278.85714285714283,319.2142857142857,66.1,1.9,3.1,3.8,0,1
90,2022-04-08,422323.946509399,207.42857142857144,393853.7564511705,383033.58416315983,389156.4234344749,224.1428571428571,258.85714285714283,278.85714285714283,66.1,1.7,2.9,3.7,0,1
91,2022-04-15,468389.20183563326,179.28571428571428,422323.946509399,393853.7564511705,383033.58416315983,207.42857142857144,224.1428571428571,258.85714285714283,66.2,1.5,2.6,3.6,0,1
92,2022-04-22,534158.5432925522,190.07142857142856,468389.20183563326,422323.946509399,393853.7564511705,179.28571428571428,207.42857142857144,224.1428571428571,66.2,1.2,2.4,3.4,0,1
93,2022-04-29,633896.202415563,178.14285714285717,534158.5432925522,468389.20183563326,422323.946509399,190.07142857142856,179.28571428571428,207.42857142857144,66.2,1.0,2.1,3.2,0,1
