,date,city_name,ww_raw,hosp_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,theme1_socioeconomic_status,theme2_minority_status_and_language,theme3_housing_type_and _transport,theme4_epidemiological_factors,theme5_healthcare_system,theme6_high_risk_environments,theme7_population_density,ccvi_std,TARGET0,TARGET1,TARGET2
44,2021-11-12,San Francisco,99162.6821091297,4.85025977760404,92938.16688912781,67926.02973674254,80776.44761228499,5.523906968937935,6.120565909833672,6.35153066114815,75.5,0.9,1.6,2.0,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,4.85025977760404,3.887906647127048,3.4644712697171727
33,2021-11-12,San Diego,64618.12723443393,8.155168973659627,74388.25761725733,67525.30596608274,55188.587823344205,8.845063320974273,9.215752824036166,8.917141834657658,51.8,2.0,2.8,2.9,0.5170343802187086,0.8581315240296948,0.2917050520112291,0.0878405825073966,0.7487042792379341,0.3977996098594534,0.9316680825004874,0.2422726267742356,8.155168973659627,8.7009062936075,8.093387394621214
39,2021-11-12,Charlotte,1446462.0269931394,15.810075368433116,1842222.2210432454,1662082.6644115206,2358875.818754994,18.28592609727052,19.700697942320453,23.025411778187827,55.6,3.4,3.6,3.7,0.5487411375258293,0.813481228627227,0.2865524130749503,0.2435302525494415,0.967430426849942,0.2957094924974624,0.8147694548371467,0.2079029349264265,15.810075368433116,14.395303523383172,12.41462294031325
45,2021-11-19,San Francisco,110639.38303804483,3.887906647127048,99162.6821091297,92938.16688912781,67926.02973674254,4.85025977760404,5.523906968937935,6.120565909833672,75.8,0.7,1.4,2.0,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,3.887906647127048,3.4644712697171727,3.7724242714698097
45,2021-11-19,Houston,18603.620002039173,10.86660531348931,20215.63483947899,22078.221177447573,23988.09969327911,11.129471124680729,12.62201428992014,13.949709404073403,65.1,1.0,1.7,5.4,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,10.86660531348931,10.421812599072194,10.376516512962937
41,2021-11-19,NYC,17700.633217650415,29.17477222851041,15748.365674102177,17847.234635457524,15898.215557517382,26.967655886488174,26.89765043423022,28.009959286773572,68.3,1.4,2.0,2.3,0.6665990325343041,0.9007367885528166,0.5331927422204699,0.2946567623811354,0.8450799576909643,0.1295490929069606,0.988377052718578,0.2370603351584131,29.17477222851041,33.25842361022549,38.86274898265546
40,2021-11-19,Charlotte,1067691.7749762938,14.395303523383172,1446462.0269931394,1842222.2210432454,1662082.6644115206,15.810075368433116,18.28592609727052,19.700697942320453,56.0,3.3,3.7,3.8,0.5487411375258293,0.813481228627227,0.2865524130749503,0.2435302525494415,0.967430426849942,0.2957094924974624,0.8147694548371467,0.2079029349264265,14.395303523383172,12.41462294031325,13.581809712479455
45,2021-11-19,Denver,13803.399568624005,24.270385567428452,13534.813000149317,12649.472353856914,8014.49160431433,22.004605249527224,20.52470369053768,18.05479901967238,75.7,1.3,7.2,10.4,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,24.270385567428452,25.250182461656003,26.55657832062608
34,2021-11-19,San Diego,70134.39999682855,8.7009062936075,64618.12723443393,74388.25761725733,67525.30596608274,8.155168973659627,8.845063320974273,9.215752824036166,52.3,1.8,2.8,3.0,0.5170343802187086,0.8581315240296948,0.2917050520112291,0.0878405825073966,0.7487042792379341,0.3977996098594534,0.9316680825004874,0.2422726267742356,8.7009062936075,8.093387394621214,8.948032624176863
46,2021-11-26,San Francisco,110698.41494916953,3.4644712697171727,110639.38303804483,99162.6821091297,92938.16688912781,3.887906647127048,4.85025977760404,5.523906968937935,76.0,0.7,1.3,2.0,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,3.4644712697171727,3.7724242714698097,4.272847899317843
42,2021-11-26,NYC,20698.628322613626,33.25842361022549,17700.633217650415,15748.365674102177,17847.234635457524,29.17477222851041,26.967655886488174,26.89765043423022,68.7,1.4,2.0,2.4,0.6665990325343041,0.9007367885528166,0.5331927422204699,0.2946567623811354,0.8450799576909643,0.1295490929069606,0.988377052718578,0.2370603351584131,33.25842361022549,38.86274898265546,43.94203346315068
46,2021-11-26,Houston,17723.356467105776,10.421812599072194,18603.620002039173,20215.63483947899,22078.221177447573,10.86660531348931,11.129471124680729,12.62201428992014,65.2,1.2,1.6,4.2,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,10.421812599072194,10.376516512962937,10.102512319941377
46,2021-11-26,Denver,17390.051989452077,25.250182461656003,13803.399568624005,13534.813000149317,12649.472353856914,24.270385567428452,22.004605249527224,20.52470369053768,75.8,1.0,5.2,10.3,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,25.250182461656003,26.55657832062608,25.750287126417984
35,2021-11-26,San Diego,93427.18433935718,8.093387394621214,70134.39999682855,64618.12723443393,74388.25761725733,8.7009062936075,8.155168973659627,8.845063320974273,52.8,1.6,2.7,3.1,0.5170343802187086,0.8581315240296948,0.2917050520112291,0.0878405825073966,0.7487042792379341,0.3977996098594534,0.9316680825004874,0.2422726267742356,8.093387394621214,8.948032624176863,9.864459447186631
41,2021-11-26,Charlotte,807561.1243333329,12.41462294031325,1067691.7749762938,1446462.0269931394,1842222.2210432454,14.395303523383172,15.810075368433116,18.28592609727052,56.2,3.2,3.8,3.9,0.5487411375258293,0.813481228627227,0.2865524130749503,0.2435302525494415,0.967430426849942,0.2957094924974624,0.8147694548371467,0.2079029349264265,12.41462294031325,13.581809712479455,15.138058742034392
47,2021-12-03,San Francisco,127004.10690057544,3.7724242714698097,110698.41494916953,110639.38303804483,99162.6821091297,3.4644712697171727,3.887906647127048,4.85025977760404,77.0,0.7,1.2,1.9,0.4314689626774069,0.8913122527643952,0.3392810611003368,0.1151643532376211,0.3344377681485115,0.2219338198392173,0.9854717064259926,0.2208883187831757,3.7724242714698097,4.272847899317843,4.75402446455634
36,2021-12-03,San Diego,138381.64837794512,8.948032624176863,93427.18433935718,70134.39999682855,64618.12723443393,8.093387394621214,8.7009062936075,8.155168973659627,53.3,1.5,2.5,3.2,0.5170343802187086,0.8581315240296948,0.2917050520112291,0.0878405825073966,0.7487042792379341,0.3977996098594534,0.9316680825004874,0.2422726267742356,8.948032624176863,9.864459447186631,10.317524384161178
42,2021-12-03,Charlotte,1025187.395373201,13.581809712479455,807561.1243333329,1067691.7749762938,1446462.0269931394,12.41462294031325,14.395303523383172,15.810075368433116,56.9,2.9,3.8,4.0,0.5487411375258293,0.813481228627227,0.2865524130749503,0.2435302525494415,0.967430426849942,0.2957094924974624,0.8147694548371467,0.2079029349264265,13.581809712479455,15.138058742034392,16.69430777158933
47,2021-12-03,Denver,16455.16704567456,26.55657832062608,17390.051989452077,13803.399568624005,13534.813000149317,25.250182461656003,24.270385567428452,22.004605249527224,76.0,1.0,3.5,10.3,0.4693030502370353,0.7700468367899331,0.3172331197099186,0.0594324395369902,0.2606925331433364,0.6769028903775698,0.9079494669591008,0.216895240120463,26.55657832062608,25.750287126417984,22.096461208361056
47,2021-12-03,Houston,17962.562019486588,10.376516512962937,17723.356467105776,18603.620002039173,20215.63483947899,10.421812599072194,10.86660531348931,11.129471124680729,65.3,1.3,1.6,3.3,0.7516457694325631,0.9293759652921968,0.4654815233134646,0.1735362642291349,0.76631024717148,0.7198191417453285,0.8971199696578803,0.1746635798143106,10.376516512962937,10.102512319941377,11.062640833699861
43,2021-12-03,NYC,31214.58987547481,38.86274898265546,20698.628322613626,17700.633217650415,15748.365674102177,33.25842361022549,29.17477222851041,26.967655886488174,69.3,1.4,2.0,2.6,0.6665990325343041,0.9007367885528166,0.5331927422204699,0.2946567623811354,0.8450799576909643,0.1295490929069606,0.988377052718578,0.2370603351584131,38.86274898265546,43.94203346315068,49.81665766513231
