,date,den_metro_ww_smooth,den_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
20,2021-01-03,98026.79999999999,246.42857142857142,152058.525,179207.65,217737.9,284.42857142857144,310.7142857142858,360.8571428571429,3.7,1.4,2.0,2.6,0,0
21,2021-01-10,75576.47499999999,234.21428571428572,98026.79999999999,152058.525,179207.65,246.42857142857142,284.42857142857144,310.7142857142858,5.9,1.3,1.9,2.4,0,0
22,2021-01-17,72114.7,225.71428571428572,75576.47499999999,98026.79999999999,152058.525,234.21428571428572,246.42857142857142,284.42857142857144,7.5,1.1,1.8,2.3,0,0
23,2021-01-24,65146.975,186.99999999999997,72114.7,75576.47499999999,98026.79999999999,225.71428571428572,234.21428571428572,246.42857142857142,8.9,1.0,1.6,2.2,0,0
24,2021-01-31,63137.525,170.57142857142856,65146.975,72114.7,75576.47499999999,186.99999999999997,225.71428571428572,234.21428571428572,9.9,0.8,1.5,2.1,0,0
25,2021-02-07,58892.950000000004,155.42857142857142,63137.525,65146.975,72114.7,170.57142857142856,186.99999999999997,225.71428571428572,10.4,0.6,1.4,2.0,0,0
26,2021-02-14,51621.65,149.85714285714286,58892.950000000004,63137.525,65146.975,155.42857142857142,170.57142857142856,186.99999999999997,11.2,0.6,1.3,1.9,0,0
27,2021-02-21,42102.775,156.57142857142858,51621.65,58892.950000000004,63137.525,149.85714285714286,155.42857142857142,170.57142857142856,11.8,0.5,1.2,1.9,0,0
28,2021-02-28,40140.5,126.42857142857142,42102.775,51621.65,58892.950000000004,156.57142857142858,149.85714285714286,155.42857142857142,12.3,0.6,1.1,1.8,0,0
29,2021-03-07,51742.85,118.85714285714286,40140.5,42102.775,51621.65,126.42857142857142,156.57142857142858,149.85714285714286,60.5,0.6,1.1,1.8,0,0
30,2021-03-14,44333.225,129.85714285714286,51742.85,40140.5,42102.775,118.85714285714286,126.42857142857142,156.57142857142858,61.0,0.8,1.1,1.8,0,0
31,2021-03-21,38409.35,109.14285714285715,44333.225,51742.85,40140.5,129.85714285714286,118.85714285714286,126.42857142857142,61.5,0.9,1.1,1.8,0,0
32,2021-03-28,47356.1,102.14285714285715,38409.35,44333.225,51742.85,109.14285714285715,129.85714285714286,118.85714285714286,62.1,1.0,1.2,1.7,0,0
33,2021-04-04,50050.175,110.71428571428571,47356.1,38409.35,44333.225,102.14285714285715,109.14285714285715,129.85714285714286,62.8,1.2,1.3,1.7,0,0
34,2021-04-11,71706.65,150.71428571428572,50050.175,47356.1,38409.35,110.71428571428571,102.14285714285715,109.14285714285715,63.3,1.3,1.4,1.7,0,0
35,2021-04-18,92914.45000000001,154.42857142857144,71706.65,50050.175,47356.1,150.71428571428572,110.71428571428571,102.14285714285715,64.0,1.5,1.5,1.8,0,0
36,2021-04-25,97157.0,161.57142857142856,92914.45000000001,71706.65,50050.175,154.42857142857144,150.71428571428572,110.71428571428571,64.5,1.6,1.7,1.9,0,0
37,2021-05-02,111960.92500000002,182.28571428571428,97157.0,92914.45000000001,71706.65,161.57142857142856,154.42857142857144,150.71428571428572,65.0,1.8,1.9,2.0,0,0
38,2021-05-09,103848.5,176.85714285714286,111960.92500000002,97157.0,92914.45000000001,182.28571428571428,161.57142857142856,154.42857142857144,65.6,1.9,2.0,2.1,0,0
39,2021-05-16,69302.6,148.85714285714286,103848.5,111960.92500000002,97157.0,176.85714285714286,182.28571428571428,161.57142857142856,66.1,2.0,2.2,2.3,0,0
40,2021-05-23,53894.27500000001,143.71428571428572,69302.6,103848.5,111960.92500000002,148.85714285714286,176.85714285714286,182.28571428571428,66.6,2.2,2.5,2.6,0,0
41,2021-05-30,48610.52500000001,120.28571428571428,53894.27500000001,69302.6,103848.5,143.71428571428572,148.85714285714286,176.85714285714286,67.1,2.3,2.7,2.9,0,0
42,2021-06-06,34359.65000000001,93.57142857142857,48610.52500000001,53894.27500000001,69302.6,120.28571428571428,143.71428571428572,148.85714285714286,67.4,2.5,3.0,3.2,0,0
43,2021-06-13,19153.200000000008,70.85714285714286,34359.65000000001,48610.52500000001,53894.27500000001,93.57142857142857,120.28571428571428,143.71428571428572,67.8,2.7,3.3,3.5,0,0
44,2021-06-20,9612.450000000008,55.714285714285715,19153.200000000008,34359.65000000001,48610.52500000001,70.85714285714286,93.57142857142857,120.28571428571428,68.2,2.8,3.4,3.8,0,0
45,2021-06-27,10757.150000000007,55.00000000000001,9612.450000000008,19153.200000000008,34359.65000000001,55.714285714285715,70.85714285714286,93.57142857142857,68.4,2.9,3.6,4.0,0,0
46,2021-07-04,30713.42500000001,52.142857142857146,10757.150000000007,9612.450000000008,19153.200000000008,55.00000000000001,55.714285714285715,70.85714285714286,69.3,3.0,3.6,4.1,0,0
47,2021-07-11,30150.17500000001,45.142857142857146,30713.42500000001,10757.150000000007,9612.450000000008,52.142857142857146,55.00000000000001,55.714285714285715,70.6,3.1,3.7,4.3,0,0
48,2021-07-18,11551.200000000008,54.642857142857146,30150.17500000001,30713.42500000001,10757.150000000007,45.142857142857146,52.142857142857146,55.00000000000001,71.4,3.9,4.6,5.2,0,0
49,2021-07-25,10897.000000000007,74.78571428571429,11551.200000000008,30150.17500000001,30713.42500000001,54.642857142857146,45.142857142857146,52.142857142857146,72.0,5.4,6.1,6.8,0,0
50,2021-08-01,19798.750000000007,88.14285714285714,10897.000000000007,11551.200000000008,30150.17500000001,74.78571428571429,54.642857142857146,45.142857142857146,72.3,7.4,8.1,8.8,0,0
51,2021-08-08,30461.350000000006,95.71428571428572,19798.750000000007,10897.000000000007,11551.200000000008,88.14285714285714,74.78571428571429,54.642857142857146,72.6,9.1,9.9,10.5,0,0
52,2021-08-15,40239.850000000006,132.14285714285714,30461.350000000006,19798.750000000007,10897.000000000007,95.71428571428572,88.14285714285714,74.78571428571429,73.1,10.0,10.9,11.5,0,0
53,2021-08-22,48694.20000000001,161.21428571428572,40239.850000000006,30461.350000000006,19798.750000000007,132.14285714285714,95.71428571428572,88.14285714285714,73.5,10.4,11.4,12.1,0,0
54,2021-08-29,50451.100000000006,177.00000000000003,48694.20000000001,40239.850000000006,30461.350000000006,161.21428571428572,132.14285714285714,95.71428571428572,73.8,10.4,11.6,12.3,0,0
55,2021-09-05,59135.512500000004,197.42857142857144,50451.100000000006,48694.20000000001,40239.850000000006,177.00000000000003,161.21428571428572,132.14285714285714,74.1,10.2,11.5,12.3,0,0
56,2021-09-12,73209.7375,200.71428571428572,59135.512500000004,50451.100000000006,48694.20000000001,197.42857142857144,177.00000000000003,161.21428571428572,74.4,10.1,11.4,12.2,0,0
57,2021-09-19,68516.55,217.85714285714283,73209.7375,59135.512500000004,50451.100000000006,200.71428571428572,197.42857142857144,177.00000000000003,74.6,9.9,11.1,12.1,0,0
